# -----Time History for cell 500 :
# 
+0.000000000e+00 +8.129000000e+03 +1.000062096e+05 +7.689000000e+00 +0.000000000e+00
+2.000000000e-10 +8.128999901e+03 +9.843177472e+04 +7.688999851e+00 +0.000000000e+00
+4.000000000e-10 +8.128999704e+03 +9.532019983e+04 +7.688999563e+00 +0.000000000e+00
+6.000000000e-10 +8.128999416e+03 +9.075291881e+04 +7.688999157e+00 +0.000000000e+00
+8.000000000e-10 +8.128999043e+03 +8.484533654e+04 +7.688998661e+00 +0.000000000e+00
+1.000000000e-09 +8.128998595e+03 +7.774332628e+04 +7.688998110e+00 +0.000000000e+00
+1.200000000e-09 +8.128998082e+03 +6.961924452e+04 +7.688997538e+00 +0.000000000e+00
+1.400000000e-09 +8.128997517e+03 +6.066741002e+04 +7.688996981e+00 +0.000000000e+00
+1.600000000e-09 +8.128996913e+03 +5.109897478e+04 +7.688996470e+00 +0.000000000e+00
+1.800000000e-09 +8.128996284e+03 +4.113659901e+04 +7.688996031e+00 +0.000000000e+00
+2.000000000e-09 +8.128995644e+03 +3.100878600e+04 +7.688995682e+00 +0.000000000e+00
+2.200000000e-09 +8.128995009e+03 +2.094427120e+04 +7.688995432e+00 +0.000000000e+00
+2.400000000e-09 +8.128994392e+03 +1.116632157e+04 +7.688995282e+00 +0.000000000e+00
+2.600000000e-09 +8.128993806e+03 +1.887053013e+03 +7.688995224e+00 +0.000000000e+00
+2.800000000e-09 +8.128993264e+03 -6.688942007e+03 +7.688995244e+00 +0.000000000e+00
+3.000000000e-09 +8.128992779e+03 -1.437206416e+04 +7.688995321e+00 +0.000000000e+00
+3.200000000e-09 +8.128992361e+03 -2.099605217e+04 +7.688995433e+00 +0.000000000e+00
+3.400000000e-09 +8.128992019e+03 -2.642212885e+04 +7.688995556e+00 +0.000000000e+00
+3.600000000e-09 +8.128991759e+03 -3.054219959e+04 +7.688995668e+00 +0.000000000e+00
+3.800000000e-09 +8.128991586e+03 -3.328155079e+04 +7.688995752e+00 +0.000000000e+00
+4.000000000e-09 +8.128991502e+03 -3.460052935e+04 +7.688995795e+00 +0.000000000e+00
+4.200000000e-09 +8.128991509e+03 -3.449545424e+04 +7.688995791e+00 +3.300101382e+02
+4.400000000e-09 +8.128991603e+03 -3.299858065e+04 +7.688995743e+00 +4.701247878e+03
+4.600000000e-09 +8.128991781e+03 -3.018471173e+04 +7.688995671e+00 +8.837559740e+03
+4.800000000e-09 +8.128992029e+03 -2.625424032e+04 +7.688995598e+00 +1.234450100e+04
+5.000000000e-09 +8.128992334e+03 -2.143018274e+04 +7.688995545e+00 +1.515101361e+04
+5.200000000e-09 +8.128992680e+03 -1.594343587e+04 +7.688995527e+00 +1.723234355e+04
+5.400000000e-09 +8.128993054e+03 -1.002539720e+04 +7.688995551e+00 +1.858691633e+04
+5.600000000e-09 +8.128993440e+03 -3.901531523e+03 +7.688995619e+00 +1.923336339e+04
+5.800000000e-09 +8.128993826e+03 +2.214383126e+03 +7.688995726e+00 +1.920838953e+04
+6.000000000e-09 +8.128994200e+03 +8.125098273e+03 +7.688995864e+00 +1.856390978e+04
+6.200000000e-09 +8.128994549e+03 +1.365416594e+04 +7.688996019e+00 +1.736525421e+04
+6.400000000e-09 +8.128994864e+03 +1.864913740e+04 +7.688996179e+00 +1.568779886e+04
+6.600000000e-09 +8.128995138e+03 +2.298395781e+04 +7.688996331e+00 +1.361444156e+04
+6.800000000e-09 +8.128995363e+03 +2.656043152e+04 +7.688996462e+00 +1.123268169e+04
+7.000000000e-09 +8.128995537e+03 +2.930886563e+04 +7.688996565e+00 +8.632039232e+03
+7.200000000e-09 +8.128995656e+03 +3.118753357e+04 +7.688996634e+00 +5.900349795e+03
+7.400000000e-09 +8.128995718e+03 +3.218121003e+04 +7.688996670e+00 +3.120846430e+03
+7.600000000e-09 +8.128995726e+03 +3.230042047e+04 +7.688996674e+00 +3.744047695e+02
+7.800000000e-09 +8.128995680e+03 +3.157935013e+04 +7.688996652e+00 +0.000000000e+00
+8.000000000e-09 +8.128995585e+03 +3.007328869e+04 +7.688996607e+00 +0.000000000e+00
+8.200000000e-09 +8.128995442e+03 +2.780371592e+04 +7.688996545e+00 +0.000000000e+00
+8.400000000e-09 +8.128995252e+03 +2.480361990e+04 +7.688996469e+00 +0.000000000e+00
+8.600000000e-09 +8.128995020e+03 +2.112527038e+04 +7.688996389e+00 +0.000000000e+00
+8.800000000e-09 +8.128994750e+03 +1.683902155e+04 +7.688996311e+00 +0.000000000e+00
